miRNA,mRNA,coeff 2,coeff 7,VIP 2,Vip 7
hsa_miR_873_4395467,_218601_at,0.2432332553,0.2063851014,1.59681,1.45853
hsa_miR_410_4378093,_218572_at,-0.2793474959,-0.2626092374,2.25338,1.82021
hsa_miR_410_4378093,_218571_s_at,-0.2795694724,-0.3003634764,1.74871,1.26034
hsa_miR_363_4378090,_218540_at,0.3338047675,0.4876536879,1.87157,1.99286
hsa_miR_616_4395525,_218540_at,-0.2854639025,-0.3851514459,1.45746,1.32205
hsa_miR_758_4395180,_218533_s_at,0.205885411,0.2277378629,1.36132,1.25587
hsa_miR_758_4395180,_218517_at,-0.2038069847,-0.2274324046,1.50881,1.69667
hsa_miR_873_4395467,_218509_at,0.2748642571,0.2311823519,1.72858,1.52114
hsa_miR_363_4378090,_218494_s_at,-0.355249088,-0.3551383449,2.24917,2.29531
hsa_miR_363_4378090,_218486_at,0.2605668111,0.2778432552,1.73394,1.82101
hsa_miR_139_5p_4395400,_218438_s_at,-0.312044567,-0.3094887919,1.32068,1.08886
hsa_miR_363_4378090,_218438_s_at,0.4391358832,0.4413212327,2.05938,1.74093
hsa_miR_363_4378090,_218416_s_at,-0.234129492,-0.2373175919,1.64293,1.65108
hsa_miR_758_4395180,_218396_at,-0.2183930267,-0.2757384307,1.76717,1.15017
hsa_miR_758_4395180,_218368_s_at,0.2494837175,0.2845797774,1.576,1.80053
hsa_miR_363_4378090,_218366_x_at,0.2031237614,0.2324032786,1.55396,1.78133
hsa_miR_410_4378093,_218359_at,-0.2163055202,-0.247416993,1.5654,1.82052
hsa_miR_363_4378090,_218341_at,-0.2342442025,-0.2409388139,1.66933,1.77794
hsa_miR_139_5p_4395400,_218329_at,-0.2787417962,-0.280500123,1.64427,1.58891
hsa_miR_363_4378090,_218329_at,0.3560188823,0.3497408957,1.88146,1.84482
hsa_miR_758_4395180,_218329_at,-0.256458704,-0.2818534134,1.35538,1.49528
hsa_miR_873_4395467,_218325_s_at,-0.203395654,-0.2236703658,1.33608,1.45394
hsa_miR_139_5p_4395400,_218312_s_at,-0.2320578094,-0.2155969655,1.68248,1.67024
hsa_miR_363_4378090,_218312_s_at,0.2336985848,0.2150088054,1.62765,1.58964
hsa_miR_363_4378090,_218291_at,0.2878377344,0.3794800473,1.91344,2.43387
hsa_miR_758_4395180,_218291_at,-0.2373198457,-0.2363116277,1.60407,1.56898
hsa_miR_139_5p_4395400,_218273_s_at,-0.2662713261,-0.2493705672,1.51043,1.433
hsa_miR_363_4378090,_218273_s_at,0.4510801757,0.4235502127,2.60105,2.49861
hsa_miR_363_4378090,_218260_at,-0.2330816069,-0.2644802445,1.55589,1.62496
hsa_miR_125a_5p_4395309,_218245_at,-0.2050618208,-0.2763203058,1.58758,1.29928
hsa_miR_758_4395180,_218227_at,-0.2203097827,-0.213558364,1.68344,1.62451
hsa_miR_410_4378093,_218167_at,-0.2829060403,-0.2054143804,1.90884,1.43391
hsa_miR_363_4378090,_218159_at,0.2552698289,0.2250194016,1.64876,1.56918
hsa_miR_616_4395525,_218159_at,-0.2452074433,-0.2238393778,1.71457,1.68841
hsa_miR_200c_4395411,_218115_at,-0.26683014,-0.2345469415,1.05409,0.98944
hsa_miR_205_4373093,_218115_at,-0.2556660115,-0.2215793027,1.01451,0.94255
hsa_miR_363_4378090,_218115_at,-0.4407964007,-0.4652340885,1.89245,1.93847
hsa_miR_873_4395467,_218115_at,0.3365884068,0.3130086616,1.68681,1.50725
hsa_miR_758_4395180,_218068_s_at,-0.222893763,-0.2537407745,1.71147,1.78233
hsa_miR_205_4373093,_218003_s_at,0.2215565849,0.2971828335,1.51401,1.28612
hsa_miR_410_4378093,_218003_s_at,-0.2549100175,-0.2201623066,1.67686,1.12844
hsa_miR_363_4378090,_217989_at,0.2366441188,0.3995675704,1.55773,2.25413
hsa_miR_758_4395180,_217989_at,-0.2097459453,-0.2213566425,1.35556,1.22042
hsa_miR_758_4395180,_217979_at,0.2336307065,0.2441504361,1.72501,1.77608
hsa_miR_363_4378090,_217976_s_at,-0.294620128,-0.2771637747,1.47878,1.34222
hsa_miR_628_5p_4395544,_217976_s_at,-0.2024194266,-0.2018615966,1.23883,1.13432
hsa_miR_873_4395467,_217976_s_at,0.2907049484,0.3257264102,1.48418,1.56228
hsa_miR_139_5p_4395400,_217963_s_at,0.2259775765,0.2084658316,1.54611,1.50752
hsa_miR_363_4378090,_217963_s_at,-0.2981847018,-0.2762312918,1.96543,1.90436
hsa_miR_873_4395467,_217962_at,0.2242531042,0.299646866,1.63216,1.90656
hsa_miR_141_4373137,_217926_at,-0.2157948801,-0.2200747286,1.12268,0.92642
hsa_miR_200c_4395411,_217926_at,-0.2387887129,-0.266360645,1.19344,0.98986
hsa_miR_363_4378090,_217926_at,-0.3219176713,-0.5201106662,1.61617,1.84704
hsa_miR_758_4395180,_217926_at,0.2419940343,0.2482482719,1.11979,0.83829
hsa_miR_873_4395467,_217926_at,0.25407682,0.3398860235,1.55874,1.52429
hsa_miR_200c_4395411,_217915_s_at,0.2074365866,0.2311114471,1.16252,1.04712
hsa_miR_363_4378090,_217915_s_at,0.2907704739,0.4812230607,1.51296,1.67078
hsa_miR_758_4395180,_217915_s_at,-0.2731601214,-0.3239809964,1.34692,1.10863
hsa_miR_758_4395180,_217902_s_at,-0.2168864604,-0.2261966428,1.63826,1.70331
hsa_miR_363_4378090,_217893_s_at,-0.3360485152,-0.3613697161,2.54195,2.79953
hsa_miR_363_4378090,_217877_s_at,0.2683820286,0.25476435,1.44339,1.38971
hsa_miR_363_4378090,_217873_at,0.2515153422,0.304803165,1.71186,1.90551
hsa_miR_363_4378090,_217839_at,-0.3392337177,-0.3355714582,1.99829,1.88909
hsa_miR_410_4378093,_217839_at,0.2298489641,0.2628115805,1.32868,1.54389
hsa_miR_125a_5p_4395309,_217827_s_at,-0.2216342476,-0.3231947933,1.69514,1.54519
hsa_miR_758_4395180,_217827_s_at,-0.2343831953,-0.3708980909,1.8892,1.60505
hsa_miR_363_4378090,_217819_at,0.4458382531,0.5420509414,1.84032,2.08502
hsa_miR_518b_4373246,_217819_at,-0.259072842,-0.2185585125,1.23755,0.88124
hsa_miR_873_4395467,_217819_at,-0.2559252639,-0.2390887578,1.13458,0.83321
hsa_miR_125a_3p_4395310,_217809_at,-0.2838325176,-0.2898393895,1.41036,1.63519
hsa_miR_363_4378090,_217809_at,-0.4217552389,-0.3789645674,1.95801,1.72768
hsa_miR_873_4395467,_217796_s_at,-0.2024530768,-0.2378365651,1.27984,1.17868
hsa_miR_758_4395180,_217785_s_at,0.2573550942,0.2960962492,1.81623,1.91098
hsa_miR_200c_4395411,_217784_at,-0.2084970172,-0.2456982279,1.2886,1.20043
hsa_miR_363_4378090,_217784_at,-0.2570355579,-0.3333481914,1.54647,1.69039
hsa_miR_758_4395180,_217784_at,0.2268618133,0.2715623191,1.28996,1.32099
hsa_miR_125a_3p_4395310,_217768_at,0.2283795673,0.2446269876,1.31999,1.24386
hsa_miR_125a_5p_4395309,_217768_at,0.216838713,0.2197839875,1.24869,1.15127
hsa_miR_363_4378090,_217768_at,0.308925076,0.3677485154,1.7455,1.81136
hsa_miR_616_4395525,_217768_at,-0.2775606147,-0.3328385489,1.60588,1.65234
hsa_miR_363_4378090,_217763_s_at,0.2432488474,0.2281714013,1.68639,1.65176
